"ecotypeid"	"accession_name"	"FT10"	"FT16"
9741	"Orast-1"	88.0	71.5
8351	"Ost-0"	103.0	97.5
7287	"Ove-0"	71.0	48.25
7288	"Oy-0"	82.5	70.25
8243	"PHW-2"	80.0	68.25
8239	"PHW-3"	56.0	42.5
8244	"PHW-34"	90.5	58.5
9924	"PLY-20"	66.5	57.0
7917	"PNA3.10"	82.25	68.75
7947	"PNA3.40"	82.25	81.5
8077	"PT2.21"	70.0	57.75
265	"PYL-6"	63.5	47.25
9607	"Panik-1"	88.75	107.6666667
9639	"Panke-1"	78.0	73.25
9615	"Parti-1"	85.75	86.0
2171	"Paw-26"	79.0	82.5
9947	"Ped-0"	104.5	125.0
2202	"Pent-23"	97.75	96.5
8354	"Per-1"	82.0	58.75
7296	"Petergof"	84.25	62.5
10017	"Petro-1"	87.5	76.5
9805	"Pfn-10"	70.5	53.0
9771	"Pfn-N2.2-6"	62.5	44.25
7298	"Pi-0"	81.75	53.25
9659	"Pigna-1"	71.25	66.66666667
8357	"Pla-0"	71.75	55.5
7307	"Pn-0"	78.5	72.33333333
7523	"Pna-17"	80.0	68.75
9707	"Podvi-1"	80.5	72.75
7306	"Pog-0"	76.5	49.75
7305	"Pt-0"	79.25	51.5
6951	"Pu2-23"	79.5	59.0
6956	"Pu2-7"	84.5	72.5
6957	"Pu2-8"	81.25	84.66666667
9436	"Puk-1"	89.0	77.5
9437	"Puk-2"	91.75	90.0
9764	"Qar-8a"	69.75	62.75
9949	"Qui-0"	76.75	61.5
9917	"RAD-21"	75.25	54.25
7471	"RLD-1"	56.25	34.0
8132	"RMX3.22"	74.0	67.33333333
7515	"RRS-10"	73.75	73.5
7514	"RRS-7"	80.25	57.33333333
9925	"RUM-20"	92.5	79.0
6958	"Ra-0"	68.75	41.66666667
7314	"Ragl-1"	66.0	42.25
8365	"Rak-2"	74.0	39.5
9640	"Rakit-1"	92.75	80.75
9641	"Rakit-2"	82.6666666667	87.66666667
9642	"Rakit-3"	95.5	86.0
8366	"Rd-0"	78.3333333333	62.75
6959	"Rennes-1"	71.75	53.25
6960	"Rennes-11"	55.0	39.75
8369	"Rev-1"	98.0	94.66666667
6076	"Rev-2"	121.5	110.5
7316	"Rhen-1"	81.25	89.25
7525	"Rmx-A180"	63.0	41.75
7319	"Rome-1"	58.5	52.75
7320	"Rou-0"	80.75	74.5
9976	"Rovero-1"	79.0	72.5
7322	"Rsch-4"	76.5	51.75
9806	"Ru-2"	67.0	43.0
9793	"Ru-N2"	62.0	63.33333333
9768	"Ru4-16"	74.5	54.66666667
7323	"Rubezhnoe-1"	75.75	64.25
9997	"Rue3.1-31"	70.25	51.5
9918	"SAUL-24"	81.25	90.0
2276	"SLSP-31"	83.0	84.25
2278	"SLSP-35"	79.25	85.0
8247	"San-2"	98.0	94.66666667
8376	"Sanna-2"	103.0	104.0
9660	"Sarno-1"	53.25	40.0
9721	"Schip-1"	77.5	78.0
9807	"Schl-7"	67.5	43.0
6961	"Se-0"	59.0	50.33333333
7332	"Seattle-0"	64.0	43.5
7333	"Sei-0"	68.75	39.75
5772	"Set-1"	66.75	49.0
9643	"Sever-1"	85.0	79.0
7327	"Sf-1"	64.5	53.5
7328	"Sf-2"	56.25	51.33333333
7344	"Sg-1"	73.5	47.66666667
9958	"Shigu-1"	82.0	76.5
9959	"Shigu-2"	81.5	78.75
7337	"Si-0"	74.5	47.5
9745	"Sij 1/96"	79.5	76.0
10008	"Sij-1"	79.25	73.0
10009	"Sij-2"	80.75	77.75
10010	"Sij-4"	85.0	75.25
9442	"Sim-1"	104.75	113.25
1552	"Sku-30"	104.0	115.3333333
9985	"Slavi-1"	71.0	63.5
9723	"Slavi-2"	76.0	68.5
9718	"Smolj-1"	78.75	79.0
6963	"Sorbo"	78.75	64.25
7343	"Sp-0"	72.0	51.25
6085	"Sparta-1"	124.25	128.0
9450	"Spro 1"	88.0	78.5
9451	"Spro 2"	107.5	113.6666667
9452	"Spro 3"	101.5	103.0
6966	"Sq-1"	62.25	55.125
6967	"Sq-8"	62.75	42.0
6086	"Sr:3"	100.5	100.75
8386	"Sr:5"	75.0	49.0
8387	"St-0"	74.25	48.33333333
9998	"Star-8"	68.0	46.25
9713	"Stara-1"	75.25	68.33333333
9757	"Staro-1"	93.75	93.0
9756	"Staro-2"	88.75	73.0
2317	"Ste-40"	77.0	53.5
7346	"Sten-0"	78.25	58.66666667
9453	"Stenk-2"	106.5	129.5
9454	"Stenk-3"	101.25	138.0
9455	"Stenk-4"	93.25	102.75
9956	"Stepn-1"	72.75	61.0
9955	"Stepn-2"	80.5	73.0
9728	"Stiav-1"	77.5	77.75
9729	"Stiav-2"	96.75	79.0
9731	"Stiav-3"	92.5	66.0
10023	"Strand-1"	96.25	90.0
6088	"Stu1-1"	107.6666666667	128.0
7347	"Stw-0"	64.75	47.0
7342	"Su-0"	83.0	65.0
765	"Sus-1"	56.75	36.66666667
6090	"T1000"	94.75	105.0
6092	"T1020"	103.0	89.5
6094	"T1040"	101.75	92.66666667
6097	"T1070"	114.5	94.0
6098	"T1080"	112.25	105.0
6099	"T1090"	117.0	113.6666667
6100	"T1110"	102.0	108.3333333
6102	"T1130"	122.3333333333	103.5
6104	"T1160"	100.0	109.5
6105	"T450"	97.75	87.66666667
6106	"T460"	102.0	94.75
6107	"T470"	119.0	105.25
6108	"T480"	78.75	52.75
6109	"T510"	100.75	99.0
6111	"T530"	111.75	93.66666667
6112	"T540"	94.5	76.75
6114	"T570"	97.0	92.0
6115	"T580"	97.5	74.75
6118	"T610"	98.25	99.25
6122	"T670"	101.5	90.0
6124	"T690"	129.5	106.0
6125	"T710"	106.25	100.0
6126	"T720"	103.25	89.0
6128	"T740"	122.3333333333	113.0
6131	"T780"	119.0	137.0
6132	"T790"	106.0	102.5
6133	"T800"	111.75	91.75
6134	"T810"	110.0	100.3333333
6136	"T840"	96.5	84.5
6137	"T850"	92.5	87.75
6138	"T860"	97.0	90.75
6140	"T880"	98.75	103.25
6142	"T900"	98.5	107.5
6145	"T930"	116.0	111.5
6148	"T960"	105.0	105.6666667
6149	"T970"	106.0	99.0
6150	"T980"	111.3333333333	101.6666667
6151	"T990"	99.5	103.3333333
6153	"TAA 03"	149.25	116.0
6184	"TBÖ 01"	93.6666666667	103.6666667
6188	"TDr-1"	73.25	53.5
6198	"TDr-13"	88.25	92.5
6201	"TDr-16"	94.25	103.0
6202	"TDr-17"	109.75	128.0
6203	"TDr-18"	108.0	119.6666667
6189	"TDr-2"	74.0	56.66666667
6191	"TDr-4"	78.3333333333	58.5
6192	"TDr-5"	95.0	63.0
6193	"TDr-7"	83.0	54.5
6194	"TDr-8"	110.5	91.5
6195	"TDr-9"	83.75	59.0
6209	"TEDEN 02"	94.0	107.0
6210	"TEDEN 03"	100.75	125.0
6217	"TFÄ 07"	111.25	127.0
6218	"TFÄ 08"	124.0	137.0
6220	"TGR 01"	103.0	117.3333333
6221	"TGR 02"	108.0	110.0
6237	"TOM 03"	106.0	109.0
6238	"TOM 04"	104.5	124.0
6240	"TOM 06"	98.25	125.6666667
6241	"TOM 07"	96.25	117.5
350	"TOU-A1-88"	68.5	51.5
351	"TOU-A1-89"	69.25	65.33333333
9926	"TRE-1"	67.0	44.33333333
6244	"TRÄ 01"	90.75	108.25
6258	"TV-10"	119.25	126.6666667
6268	"TV-22"	115.0	128.6666667
6276	"TV-30"	131.0	143.0
6284	"TV-38"	117.5	131.5
7349	"Ta-0"	81.25	52.75
7350	"Tac-0"	80.0	52.0
6968	"Tamm-2"	92.5	91.33333333
6969	"Tamm-27"	91.25	96.0
9663	"Teano-1"	69.75	69.33333333
9736	"Teiu-2"	78.0	81.0
7353	"Tha-1"	86.0	70.5
9968	"Timpo-1"	66.75	57.75
7354	"Ting-1"	100.25	108.3333333
9739	"Toc-1"	86.0	68.5
7356	"Tol-0"	88.0	64.33333333
6242	"Tomegap-2"	83.6666666667	86.5
1254	"Tos-82-387"	92.0	106.0
1257	"Tos-95-393"	94.6666666667	93.25
6243	"Tottarp-2"	66.75	43.75
6970	"Ts-1"	62.5	50.25
6971	"Ts-5"	66.25	63.66666667
7372	"Tscha-1"	83.0	54.5
7373	"Tsu-0"	81.25	54.75
9794	"Tu-B1-2"	69.25	44.5
9808	"Tu-B2-3"	75.25	53.0
9809	"Tu-KB-6"	74.75	51.25
9810	"Tu-KS-7"	69.25	42.25
9811	"Tu-NK-12"	69.75	45.0
9783	"Tu-PK-7"	76.5	66.33333333
9812	"Tu-W1"	67.75	45.75
9816	"Tu-WH"	63.0	39.0
9999	"TueSB30-3"	72.0	54.25
10001	"TueV-13"	68.75	49.5
10002	"TueWal-2"	61.0	42.5
7377	"Tul-0"	75.75	59.75
9470	"Tur-4"	102.6666666667	90.5
5784	"Ty-1"	101.75	69.25
6177	"TÄL 03"	99.0	105.5
6180	"TÄL 07"	71.0	41.25
6169	"TÅD 01"	116.0	113.5
6172	"TÅD 04"	110.5	114.0
6173	"TÅD 05"	91.75	101.0
6174	"TÅD 06"	100.0	128.0
5811	"UKID107"	72.0	46.0
5822	"UKID116"	112.75	111.0
5768	"UKID63"	96.25	85.0
5779	"UKID74"	90.5	67.0
5800	"UKID96"	61.75	39.0
5353	"UKNW06-003"	71.0	62.5
5486	"UKNW06-233"	60.5	37.5
5577	"UKNW06-403"	66.75	51.0
5644	"UKNW06-481"	60.75	46.25
5023	"UKSE06-118"	61.0	43.75
5104	"UKSE06-252"	60.0	40.75
5151	"UKSE06-325"	81.75	73.66666667
5165	"UKSE06-362"	86.5	81.75
5210	"UKSE06-432"	96.0	78.0
5236	"UKSE06-470"	58.5	43.5
5253	"UKSE06-500"	62.75	38.0
5276	"UKSE06-533"	74.5	49.75
5349	"UKSE06-639"	92.0	97.33333333
4779	"UKSW06-179"	68.6666666667	50.25
4807	"UKSW06-207"	79.75	87.5
4826	"UKSW06-226"	60.0	51.0
4884	"UKSW06-285"	70.25	49.5
4900	"UKSW06-302"	71.0	50.25
4958	"UKSW06-360"	91.25	100.25
6296	"UduI 1-11"	75.0	47.0
6390	"UduI 3-36"	71.75	61.33333333
6396	"UduI 4-9"	82.75	70.75
7378	"Uk-1"	71.25	52.0
10022	"Uk-3"	73.5	45.25
9737	"Ulies-1"	85.75	63.66666667
8426	"Ull1-1"	62.75	40.25
6973	"Ull2-3"	77.25	46.25
6974	"Ull2-5"	108.75	125.25
6413	"Ull3-4"	104.25	95.0
9312	"Ullapool-8"	75.25	57.5
6975	"Uod-1"	67.25	47.25
6976	"Uod-7"	71.25	69.5
7382	"Utrecht"	55.5	40.0
9933	"VED-10"	76.75	49.0
9755	"Vajug-1"	88.75	82.0
9969	"Valsi-1"	68.75	69.25
7383	"Van-0"	60.5	38.0
9991	"Vash-1"	90.5	92.75
7384	"Ven-1"	76.25	65.75
9978	"Vezzano-2.2"	80.25	94.5
9950	"Vie-0"	99.0	86.25
8249	"Vimmerby"	93.75	88.0
7387	"Vind-1"	60.75	41.25
9057	"Vinslöv"	87.5	67.5
9979	"Voeran-1"	82.5	68.5
9058	"Västervik"	113.25	123.0
7516	"Vår2-1"	105.0	117.0
7517	"Vår2-6"	115.0	113.75
9476	"VårA 1"	120.25	126.3333333
7477	"WAR"	74.0	52.25
9938	"WAV-8"	67.25	74.0
7394	"Wa-1"	56.75	41.75
9795	"Wank-2"	57.75	38.25
7404	"Wc-1"	68.5	41.33333333
6979	"Wei-0"	54.75	36.0
9766	"Westkar-4"	57.75	39.5
8419	"Wil-1"	71.6666666667	48.25
8419	"Wil-1"	71.6666666667	58.75
8419	"Wil-1"	94.25	48.25
8419	"Wil-1"	94.25	58.75
7413	"Wil-2"	69.25	48.0
7411	"Wl-0"	66.0	54.0
7396	"Ws-0.2"	61.5	51.5
6981	"Ws-2"	62.25	43.0
6982	"Wt-5"	78.5	44.0
7415	"Wu-0"	72.25	45.25
10014	"Xan-1"	96.75	132.0
9067	"Xan-3"	101.75	130.0
9069	"Xan-5"	82.75	90.75
9070	"Xan-6"	80.0	88.5
10011	"Yeg-1"	71.0	65.25
9128	"Yeg-2"	69.5	61.0
9130	"Yeg-4"	72.75	63.25
9131	"Yeg-5"	72.5	63.5
9133	"Yeg-7"	73.25	68.0
9134	"Yeg-8"	79.75	64.5
7416	"Yo-0"	81.5	78.66666667
9481	"Yst-1"	110.5	121.0
9747	"Zabar-1"	86.0	94.66666667
9748	"Zagub-1"	81.0	86.25
768	"Zal-1"	76.5	78.25
403	"Zdarec3"	63.5	54.25
6984	"Zdr-1"	69.25	47.75
6424	"ZdrI 1-23"	77.0	53.0
6445	"ZdrI 2-21"	67.0	50.0
6434	"ZdrI 2-9"	62.75	40.0
9709	"Zerev-1-34"	82.0	73.5
9710	"Zerev-1-35"	80.5	83.25
7418	"Zu-1"	63.5	46.25
9644	"Zupan-1"	76.75	69.0
1317	"Ängsö-74-430"	104.25	102.0
9321	"Ådal 1"	106.75	140.0
9323	"Ådal 3"	97.0	80.75
6073	"ÖMö1-7"	102.25	96.5
6074	"Ör-1"	101.0	85.75
