"ecotypeid"	"accession_name"	"FT10"	"FT16"
9711	"Dolna-1-39"	75.0	82.5
9712	"Dolna-1-40"	77.0	78.0
9944	"Don-0"	75.75	68.0
9706	"Dospa-1"	95.25	78.66666667
410	"Doubravnik7"	76.0	65.25
7106	"Dr-0"	76.5	44.5
7103	"Dra-0"	62.25	36.75
5865	"Dra1-4"	109.75	101.0
8283	"Dra3-1"	84.25	82.66666667
8284	"DraII-1"	83.25	76.0
5874	"DraII-6"	78.0	69.25
8285	"DraIII-1"	66.5	51.66666667
5893	"DraIV 1-11"	73.75	64.25
5890	"DraIV 1-8"	78.25	55.25
5907	"DraIV 2-9"	66.5	48.5
5921	"DraIV 3-7"	82.5	55.75
5950	"DraIV 5-12"	81.25	65.5
5984	"DraIV 6-13"	66.75	41.75
5993	"DraIV 6-22"	82.5	64.75
424	"Draha2"	83.25	68.25
6008	"Duk"	73.5	43.0
7107	"Durh-1"	67.25	50.75
9352	"Död 2"	127.75	134.3333333
9353	"Död 3"	126.0	134.0
9908	"ESP-1-11"	65.25	46.5
6009	"Eden-1"	103.0	113.5
6011	"Eden-6"	97.3333333333	112.5
6012	"Eden-7"	102.0	125.0
6013	"Eden-9"	93.75	93.0
9298	"Edi-1"	60.0	45.5
6016	"Eds-1"	87.3333333333	83.5
6017	"Eds-9"	96.5	104.0
6915	"Ei-2"	76.5	56.75
9369	"EkS 2"	81.75	71.25
7117	"El-0"	58.0	36.5
7109	"Ema-1"	60.75	45.75
8290	"En-1"	63.25	44.25
7119	"En-2"	65.5	41.0
7120	"En-D"	62.5	42.75
9725	"Epidauros-1"	61.25	56.5
7125	"Er-0"	69.25	42.75
9784	"Erg2-6"	60.25	43.5
7126	"Es-0"	95.5	97.25
7127	"Est"	59.75	45.5
7130	"Et-0"	91.6666666667	78.25
9762	"Etna-2"	95.5	72.75
9921	"FOR-23"	64.5	48.25
9726	"Faneronemi-3"	67.0	56.5
9941	"Fei-0"	70.0	42.5
9814	"Fell1-10"	71.5	48.33333333
9780	"Fell2-4"	72.25	45.75
9776	"Fell3-7"	65.25	57.5
7138	"Fi-0"	85.5	68.5
9651	"Filet-1"	64.0	49.66666667
8422	"Fjä1-1"	116.75	116.25
6020	"Fjä1-5"	94.0	87.25
6021	"Fjä2-4"	94.25	87.0
6023	"Fly2-1"	93.75	89.25
6024	"Fly2-2"	106.75	116.0
9380	"FlyA 3"	101.0	98.25
5741	"For-2"	97.25	88.5
7133	"Fr-2"	76.0	46.25
9382	"Fri 2"	99.0	110.6666667
9383	"Fri 3"	99.3333333333	103.0
9743	"Furni-1"	79.5	75.0
9371	"FäL 1"	129.25	145.0
9909	"GEN-8"	87.0	57.0
6919	"Ga-0"	76.75	94.0
9962	"Galdo-1"	78.0	71.75
7161	"Gd-1"	61.25	39.33333333
8297	"Ge-0"	85.75	79.0
9125	"Geg-14"	74.0	69.25
7143	"Gel-1"	83.0	44.5
7147	"Gie-0"	74.5	52.66666667
9653	"Giffo-1"	59.5	52.5
9777	"Gn-1"	66.5	43.5
9790	"Gn2-3"	66.75	41.75
9698	"Goced-1"	81.0	74.5
9314	"Gol-2"	74.25	60.0
6920	"Got-22"	86.75	93.75
430	"Gr-1"	92.3333333333	55.0
7158	"Gr-5"	63.3333333333	47.75
9645	"Gradi-1"	77.5	66.25
7160	"Gre-0"	72.25	66.5
9714	"Grivo-1"	80.75	82.33333333
9722	"Groch-1"	99.5	108.0
9386	"Grön 12"	115.5	107.75
9388	"Grön 14"	127.25	137.0
6030	"Grön-5"	107.25	129.0
6922	"Gu-0"	71.0	44.5
8234	"Gul1-2"	102.6666666667	92.75
8214	"Gy-0"	65.0	54.5
7461	"H55"	68.0	48.75
9769	"HE-1"	66.5	44.66666667
9787	"HI-4"	70.5	49.33333333
9995	"HKT2.4"	64.25	41.75
6923	"HR-10"	57.0	41.5
6924	"HR-5"	61.5	47.0
8236	"HSm"	74.0	64.66666667
7163	"Ha-0"	66.5	44.0
9785	"Ha-HBT1-2"	63.25	45.25
9797	"Ha-HBT2-10"	69.0	46.5
9815	"Ha-HBT3-11"	72.5	48.0
9786	"Ha-P-13"	64.75	40.25
9798	"Ha-P2-1"	65.25	44.66666667
9800	"Ha-S-B"	68.5	42.5
9801	"Ha-SP-2"	62.0	36.33333333
9390	"Hadd-1"	79.75	55.0
9391	"Hadd-2"	85.0	64.5
9392	"Hadd-3"	87.25	59.0
9791	"Haes-1"	65.3333333333	38.33333333
9394	"Hag-2"	110.6666666667	110.5
9395	"Hal-1"	104.5	118.25
9732	"Halca-1"	82.0	88.25
9399	"Hamm-1"	97.0	91.0
9799	"Hart-2"	66.25	50.5
7164	"Hau-0"	69.75	59.25
9402	"Hel-3"	92.25	78.75
7169	"Hh-0"	82.5	78.25
7165	"Hn-0"	71.5	43.5
8235	"Hod"	74.5	68.75
9772	"Hof-1"	67.0	40.75
9404	"HolA-1 1"	95.0	78.75
9405	"HolA-1 2"	103.5	95.5
9407	"HolA-2 2"	91.75	75.0
6035	"Hov1-10"	83.0	73.75
6034	"Hov1-7"	102.75	80.5
6036	"Hov3-2"	94.25	86.33333333
6038	"Hov3-5"	91.25	77.25
8306	"Hov4-1"	102.5	95.0
6039	"Hovdala-2"	91.0	62.0
8307	"Hovdala-6"	79.25	64.25
7162	"Hs-0"	65.0	42.75
9817	"IP-Ace-0"	64.25	63.75
9513	"IP-Adc-5"	71.75	63.33333333
9514	"IP-Adm-0"	72.5	83.33333333
9515	"IP-Ala-0"	56.25	51.25
9517	"IP-All-0"	64.0	35.75
9518	"IP-Alm-0"	92.0	87.5
9506	"IP-Alo-0"	77.75	69.0
9819	"IP-Amu-0"	98.0	98.5
9519	"IP-Ang-0"	77.25	64.5
9520	"IP-Ara-4"	113.5	120.5
9820	"IP-Are-0"	61.75	55.75
9821	"IP-Aru-0"	79.5	72.25
9822	"IP-Aul-0"	82.0	62.33333333
9823	"IP-Bae-0"	63.0	42.0
9521	"IP-Bar-1"	69.75	68.0
9522	"IP-Bea-0"	59.0	60.33333333
9523	"IP-Ben-0"	86.75	84.66666667
9524	"IP-Ber-0"	97.25	99.66666667
9824	"IP-Bes-5"	115.5	143.0
9525	"IP-Bis-0"	91.75	81.25
9825	"IP-Boa-0"	68.5	63.5
9826	"IP-Bor-0"	77.0	73.0
9827	"IP-Bos-0"	69.25	60.0
9828	"IP-Bra-0"	82.25	78.75
9830	"IP-Bus-0"	61.5	51.25
9526	"IP-Cab-3"	65.0	56.33333333
9527	"IP-Cad-0"	86.25	76.5
9528	"IP-Cal-0"	105.3333333333	89.5
9529	"IP-Cap-1"	65.0	63.0
9530	"IP-Car-1"	90.5	123.0
9831	"IP-Cas-0"	86.25	88.25
9832	"IP-Cat-0"	97.0	90.33333333
9531	"IP-Cdc-3"	91.0	92.0
9532	"IP-Cdo-0"	106.0	108.6666667
9533	"IP-Cem-0"	89.0	79.0
9833	"IP-Cha-0"	75.75	65.66666667
9834	"IP-Cho-0"	75.0	63.75
9835	"IP-Cir-0"	81.75	69.75
9534	"IP-Cmo-3"	69.75	65.66666667
9507	"IP-Coa-0"	55.0	46.66666667
9535	"IP-Coc-1"	93.5	89.0
9836	"IP-Cod-0"	109.5	128.5
9837	"IP-Con-0"	76.3333333333	64.25
9536	"IP-Cor-0"	99.0	103.0
9838	"IP-Cot-0"	73.5	67.0
9839	"IP-Coy-0"	102.75	115.0
9537	"IP-Cum-1"	64.25	56.0
9840	"IP-Dar-0"	100.5	120.5
9539	"IP-Deh-1"	78.5	91.25
9841	"IP-Ees-0"	77.75	68.0
9540	"IP-Elb-0"	75.25	88.25
9843	"IP-Elp-0"	62.75	58.66666667
9844	"IP-Esn-2"	89.25	84.25
9845	"IP-Evs-0"	77.5	65.0
9846	"IP-Ezc-2"	116.0	119.6666667
9847	"IP-Fel-2"	60.0	45.0
9541	"IP-Fue-2"	68.5	61.5
9542	"IP-Fun-0"	90.0	107.25
9848	"IP-Glo-1"	85.75	98.0
9543	"IP-Gra-0"	94.3333333333	89.66666667
9544	"IP-Gua-1"	57.25	53.5
9849	"IP-Gud-3"	99.0	99.66666667
9850	"IP-Hec-0"	95.5	83.0
9545	"IP-Her-12"	83.5	101.0
9547	"IP-Hor-0"	79.25	70.0
9851	"IP-Hue-3"	119.5	144.0
9549	"IP-Hum-2"	91.0	106.6666667
9852	"IP-Ini-0"	76.25	67.33333333
9550	"IP-Iso-4"	130.25	132.0
9551	"IP-Jim-1"	102.0	123.0
9853	"IP-Lac-0"	56.75	35.5
9854	"IP-Laf-1"	58.75	40.66666667
9855	"IP-Lam-0"	73.0	61.66666667
9856	"IP-Lch-0"	75.25	63.5
9553	"IP-Ldd-0"	100.75	106.0
9857	"IP-Leg-0"	65.75	66.5
9858	"IP-Loz-0"	120.75	123.5
9859	"IP-Lro-0"	76.25	83.0
9554	"IP-Lso-0"	94.0	104.25
9860	"IP-Lum-0"	80.75	64.33333333
9861	"IP-Mac-0"	107.5	114.5
9862	"IP-Mad-0"	67.5	53.75
9906	"IP-Mah-6"	88.0	80.0
9555	"IP-Mar-1"	93.5	100.0
9864	"IP-Mat-0"	63.25	57.25
9866	"IP-Mdd-0"	104.75	118.0
9556	"IP-Men-2"	76.25	65.0
9867	"IP-Mie-1"	101.75	101.6666667
9557	"IP-Moa-0"	107.25	112.0
9558	"IP-Moc-11"	96.5	114.6666667
9868	"IP-Moe-0"	70.25	68.66666667
9869	"IP-Moj-0"	86.25	80.75
9559	"IP-Mon-5"	56.75	66.5
9508	"IP-Mos-1"	62.0	60.66666667
9560	"IP-Mot-0"	69.25	53.75
9870	"IP-Moz-0"	100.5	111.0
9561	"IP-Mun-0"	101.0	92.0
9562	"IP-Mur-0"	93.25	83.5
9871	"IP-Nac-0"	105.0	117.6666667
9873	"IP-Ndc-0"	66.75	55.66666667
9874	"IP-Oja-0"	68.75	56.25
9565	"IP-Orb-10"	74.5	72.33333333
9875	"IP-Ovi-1"	63.75	44.75
9876	"IP-Pad-0"	87.25	74.75
9567	"IP-Pal-0"	113.0	103.5
9568	"IP-Pan-0"	103.75	109.5
9569	"IP-Pds-1"	99.0	96.5
9878	"IP-Pee-0"	113.25	116.0
9879	"IP-Per-0"	68.5	59.5
9880	"IP-Pib-1"	91.5	87.5
9881	"IP-Pie-0"	82.0	78.5
9882	"IP-Pil-0"	78.5	70.33333333
9883	"IP-Piq-0"	60.0	41.75
9885	"IP-Prd-0"	116.25	119.0
9571	"IP-Pro-0"	56.5	35.25
9886	"IP-Pru-0"	85.75	57.0
9887	"IP-Pun-0"	89.3333333333	90.75
9888	"IP-Pva-1"	86.25	96.66666667
9573	"IP-Rds-0"	70.25	60.0
9509	"IP-Reg-0"	64.5	59.0
9510	"IP-Rei-0"	59.25	55.75
9576	"IP-Rev-0"	106.0	106.5
9577	"IP-Ria-0"	99.5	123.5
9890	"IP-Rib-1"	96.0	94.33333333
9578	"IP-Sac-0"	75.25	59.25
9892	"IP-Sam-0"	88.5	84.5
9579	"IP-San-10"	77.0	79.25
9581	"IP-Sdv-3"	111.0	118.5
9894	"IP-Sen-0"	88.25	76.66666667
9582	"IP-Ses-0"	95.75	93.75
9895	"IP-Sfb-6"	75.75	71.0
9897	"IP-Smt-1"	81.0	81.5
9583	"IP-Sne-0"	96.75	89.5
9898	"IP-Som-0"	97.75	97.25
9584	"IP-Stp-0"	88.5	85.5
9585	"IP-Svi-0"	52.25	32.0
9899	"IP-Tau-0"	70.75	58.0
9587	"IP-Tdc-0"	101.0	101.75
9588	"IP-Tol-7"	85.0	79.33333333
9589	"IP-Tor-1"	85.75	77.33333333
9900	"IP-Tri-0"	53.0	50.0
9590	"IP-Trs-0"	51.25	50.5
9901	"IP-Urd-1"	117.0	102.5
9902	"IP-Usa-0"	98.0	110.3333333
9591	"IP-Vad-0"	67.0	46.0
9592	"IP-Vae-2"	95.0	100.0
9903	"IP-Val-0"	108.0	108.75
9904	"IP-Vas-0"	107.5	114.6666667
9511	"IP-Vav-0"	64.25	55.0
9593	"IP-Vaz-0"	109.5	109.0
9594	"IP-Vdm-0"	95.0	110.6666667
9595	"IP-Vdt-0"	80.5	66.75
9905	"IP-Ven-0"	89.75	95.0
9596	"IP-Ver-5"	73.0	61.0
9512	"IP-Vid-1"	51.25	40.25
9597	"IP-Vig-1"	69.75	60.66666667
9598	"IP-Vim-0"	87.0	91.0
9599	"IP-Vin-0"	84.75	90.25
9600	"IP-Vis-0"	89.5	73.0
9601	"IP-Voz-0"	97.0	77.0
9602	"IP-Vpa-1"	77.25	75.33333333
9929	"ISS-20"	85.25	88.0
9914	"IST-29"	74.75	55.25
9744	"Iasi-1"	78.75	63.33333333
8311	"In-0"	65.5	59.25
8312	"Is-0"	65.75	52.0
10012	"Istisu-1"	113.5	105.6666667
9095	"Istisu-5"	104.0	113.3333333
9099	"Istisu-9"	100.25	112.6666667
9701	"Ivano-1"	85.5	82.0
9986	"Jablo-1"	89.3333333333	86.0
7181	"Je-0"	96.75	97.0
10020	"Jl-2"	72.5	48.0
7424	"Jl-3"	57.75	35.5
7177	"Jm-0"	65.75	45.25
9629	"K-oze-1"	98.0	74.66666667
9630	"K-oze-3"	84.75	79.5
9788	"KBG1-14"	62.5	38.33333333
9770	"KBG2-13"	67.0	44.75
6927	"KNO-10"	73.5	63.0
7717	"KNO1.37"	82.75	76.25
801	"KYC-33"	94.75	88.25
9408	"Kal 1"	108.25	124.0
763	"Kar-1"	65.75	39.0
9617	"Karag-1"	70.75	66.0
9608	"Karag-2"	58.0	45.25
9708	"Kardz-1"	89.0	85.0
9717	"Kardz-2"	90.25	93.33333333
8424	"Kas-2"	68.25	80.0
8424	"Kas-2"	68.25	75.5
8424	"Kas-2"	68.25	80.0
8424	"Kas-2"	68.25	75.5
10006	"Kastel-1"	113.5	131.5
7202	"Kb-0"	63.0	40.75
8420	"Kelsterbach-4"	74.75	47.5
8238	"Kent"	79.5	52.25
9409	"Kia 1"	108.25	119.25
9960	"Kidr-1"	82.5	66.66666667
5748	"Kil-0"	60.75	41.75
5748	"Kil-0"	60.75	42.0
5748	"Kil-0"	68.75	41.75
5748	"Kil-0"	68.75	42.0
7192	"Kil-0"	60.75	41.75
7192	"Kil-0"	60.75	42.0
7192	"Kil-0"	68.75	41.75
7192	"Kil-0"	68.75	42.0
6926	"Kin-0"	66.25	45.75
7199	"Kl-5"	66.5	37.0
9951	"Kly-1"	98.75	109.6666667
9952	"Kly-4"	86.0	104.3333333
7186	"Kn-0"	75.0	49.75
6040	"Kni-1"	93.25	82.5
9749	"Knjas-1"	74.75	63.75
7427	"Ko-2"	101.0	91.5
9699	"Kolar-1"	74.25	63.66666667
9625	"Kolyv-2"	91.75	101.5
9626	"Kolyv-3"	77.3333333333	70.25
9627	"Kolyv-5"	90.5	88.25
9628	"Kolyv-6"	78.5	69.25
6929	"Kondara"	78.5	61.75
9412	"Kor 3"	87.25	64.0
9413	"Kor 4"	86.0	75.0
9719	"Koren-1"	72.5	57.75
9953	"Koz-2"	88.0	93.25
9616	"Krazo-1"	93.5	110.75
7203	"Krot-0"	67.25	44.5
9416	"Kru-3"	135.5	129.0
8240	"Kulturen-1"	94.5	83.0
9781	"Kus2-2"	60.0	41.66666667
9802	"Kus3-1"	69.75	42.75
7207	"Kyoto"	70.25	49.75
6830	"Kz-13"	69.75	41.25
6931	"Kz-9"	59.75	48.5
8237	"Kävlinge-1"	97.25	98.75
108	"LDV-18"	70.0	52.25
139	"LDV-46"	68.75	52.75
9930	"LEC-25"	75.75	68.66666667
630	"LI-OF-065"	73.5	58.75
915	"LIN S-5"	63.75	43.5
6933	"LL-0"	63.75	54.5
7209	"La-0"	63.5	45.25
9100	"Lag1-2"	77.5	74.0
9102	"Lag1-4"	83.75	80.75
9103	"Lag1-5"	83.25	82.75
9104	"Lag1-6"	60.75	60.0
9105	"Lag1-7"	77.25	78.75
9106	"Lag1-8"	87.25	87.5
9115	"Lag2-10"	91.25	71.75
9990	"Lag2-2"	83.75	75.0
9111	"Lag2-4"	100.5	89.25
9113	"Lag2-6"	76.0	70.25
9114	"Lag2-7"	99.75	100.5
9963	"Lago-1"	75.0	66.66666667
9421	"Lan 1"	107.0	103.0
7208	"Lan-0"	73.0	46.0
7218	"Le-0"	75.0	51.25
9631	"Lebja-1"	98.5	140.0
9632	"Lebja-2"	92.0	90.33333333
9633	"Lebja-4"	88.25	77.0
9987	"Lecho-1"	91.0	82.25
9945	"Leo-1"	113.5	110.0
7213	"Ler-0"	65.5	40.0
6932	"Ler-1"	63.5	40.33333333
10013	"Lerik1-3"	92.25	100.0
9075	"Lerik1-4"	93.25	98.25
9078	"Lerik1-7"	100.25	104.25
9079	"Lerik2-1"	101.0	102.0
9081	"Lerik2-3"	91.25	99.66666667
9084	"Lerik2-6"	103.75	114.25
9085	"Lerik2-7"	103.0	101.0
9716	"Leska-1-44"	102.6666666667	122.0
9611	"Lesno-1"	73.5	68.0
9612	"Lesno-2"	86.5	71.5
9610	"Lesno-4"	82.25	69.5
7223	"Li-2:1"	75.75	54.75
7231	"Li-7"	65.75	45.33333333
8241	"Liarum"	90.75	66.25
8242	"Lillö-1"	116.75	132.0
8326	"Lis-1"	86.75	58.0
8222	"Lis-2"	100.0	93.25
6041	"Lis-3"	78.75	51.5
7236	"Litva"	73.5	47.5
7217	"Lm-2"	56.5	38.0
6042	"Lom1-1"	63.5	43.0
7520	"Lp2-2"	73.25	48.75
7521	"Lp2-6"	70.75	54.0
8334	"Lu-1"	74.75	54.0
9782	"Lu3-30"	63.25	44.5
9792	"Lu4-2"	62.75	42.75
8335	"Lund"	100.0	92.25
6043	"Löv-1"	110.0	130.6666667
6046	"Löv-5"	117.25	117.0
9915	"MAR-4-16"	84.25	75.5
159	"MAR2-3"	72.0	56.75
870	"MIC-31"	72.5	62.25
1925	"MNF-Che-2"	89.5	89.5
1954	"MNF-Jac-12"	93.0	101.0
2016	"MNF-Pin-39"	77.5	69.75
1853	"MNF-Pot-21"	71.5	69.33333333
1872	"MNF-Pot-75"	80.25	82.5
1890	"MNF-Riv-21"	101.0	75.75
9720	"Malak-1"	100.75	104.0
9964	"Mammo-1"	70.0	64.5
9965	"Mammo-2"	70.5	56.0
9655	"Marce-1"	79.0	71.66666667
9656	"Marti-1"	78.25	89.0
9634	"Masl-1"	91.0	98.0
5757	"Mc-1"	87.75	66.66666667
1829	"Mdn-1"	94.75	99.0
7250	"Me-0"	58.0	37.75
9657	"Melic-1"	58.5	48.0
9703	"Melni-1"	76.5	69.75
9704	"Melni-2"	75.5	70.33333333
9946	"Mer-6"	61.5	54.5
7255	"Mh-0"	62.0	47.33333333
8337	"Mir-0"	74.0	72.5
9664	"Mitterberg-1-179"	85.5	109.6666667
9665	"Mitterberg-1-180"	85.5	86.66666667
9973	"Mitterberg-1-181"	94.25	110.0
9666	"Mitterberg-1-182"	86.5	112.0
9667	"Mitterberg-1-183"	89.0	107.0
9668	"Mitterberg-2-184"	82.5	79.5
9669	"Mitterberg-2-185"	81.0	86.0
9670	"Mitterberg-2-186"	105.5	112.5
9671	"Mitterberg-3-187"	90.5	95.0
9672	"Mitterberg-3-188"	85.3333333333	90.5
9673	"Mitterberg-3-189"	87.5	99.66666667
9676	"Mitterberg-4-192"	87.75	89.0
9677	"Mitterberg-4-193"	81.75	110.5
9678	"Mitterberg-4-194"	69.0	87.0
7244	"Mnz-0"	68.0	46.0
9966	"Monte-1"	90.5	80.0
6938	"Ms-0"	72.0	70.75
9803	"Muh-2"	63.0	41.25
7248	"Mv-0"	71.5	66.66666667
6940	"Mz-0"	64.25	39.25
8246	"NC-6"	70.5	76.5
6943	"NFA-10"	60.75	42.5
6944	"NFA-8"	63.75	44.5
9932	"NOZ-6"	81.5	76.0
8343	"Na-1"	81.25	59.75
9089	"Nar-3"	88.6666666667	125.5
9091	"Nar-5"	99.75	97.5
7430	"Nc-1"	72.5	42.25
9993	"Nemrut-1"	97.75	119.6666667
772	"Neo-6"	67.5	43.5
9658	"Nicas-1"	71.3333333333	66.5
9996	"Nie1-2"	61.3333333333	38.25
7273	"No-0"	77.0	43.66666667
6945	"Nok-3"	76.5	56.0
9635	"Nosov-1"	93.25	84.66666667
9636	"Noveg-1"	109.75	141.0
9637	"Noveg-2"	81.25	82.5
9638	"Noveg-3"	88.25	87.66666667
7268	"Np-0"	65.75	43.66666667
7258	"Nw-0"	71.0	43.5
9433	"Nyl 13"	138.0	137.0
6064	"Nyl-2"	103.6666666667	129.5
6069	"Nyl-7"	107.25	139.0
9427	"Näs 2"	96.75	119.5
7276	"Ob-0"	73.75	49.25
9804	"Obe1-15"	65.75	45.75
9789	"Obh-13"	65.0	42.25
7280	"Old-1"	80.75	46.5
9727	"Olympia-2"	61.25	43.5
6070	"Omn-1"	106.75	119.3333333
6071	"Omn-5"	120.75	139.5
7282	"Or-0"	62.5	37.5
