BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	geo_loc_name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	age_s	dev_stage_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN03327069	SRX972908	9639	2015-03-30	2599	1726	2016-05-06	SRR1946225	SRS887203	9639	9639	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327068	SRX972907	9638	2015-03-30	1942	1272	2016-05-06	SRR1946224	SRS887204	9638	9638	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327066	SRX972905	9636	2015-03-30	3711	2362	2016-05-06	SRR1946222	SRS887205	9636	9636	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327065	SRX972904	9635	2015-03-30	2573	1653	2016-05-06	SRR1946221	SRS887206	9635	9635	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327064	SRX972903	9634	2015-03-30	2378	1519	2016-05-06	SRR1946220	SRS887207	9634	9634	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327067	SRX972906	9637	2015-03-30	2125	1410	2016-05-06	SRR1946223	SRS887208	9637	9637	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327063	SRX972902	9633	2015-03-30	1762	1134	2016-05-06	SRR1946219	SRS887209	9633	9633	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327062	SRX972901	9632	2015-03-30	1868	1176	2016-05-06	SRR1946218	SRS887210	9632	9632	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327061	SRX972900	9631	2015-03-30	3486	2388	2016-05-06	SRR1946217	SRS887211	9631	9631	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327058	SRX972897	9628	2015-03-30	1798	1188	2016-05-06	SRR1946214	SRS887212	9628	9628	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
