BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	geo_loc_name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	age_s	dev_stage_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN03326986	SRX972825	9544	2015-03-30	3568	2523	2016-05-06	SRR1946142	SRS887286	9544	9544	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326987	SRX972826	9545	2015-03-30	2985	2113	2016-05-06	SRR1946143	SRS887285	9545	9545	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326988	SRX972827	9546	2015-03-30	3361	2395	2016-05-06	SRR1946144	SRS887284	9546	9546	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326989	SRX972828	9547	2015-03-30	3114	2285	2016-05-06	SRR1946145	SRS887283	9547	9547	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326990	SRX972829	9548	2015-03-31	4728	3469	2016-05-06	SRR1946146	SRS887280	9548	9548	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326991	SRX972830	9549	2015-03-30	4414	3229	2016-05-06	SRR1946147	SRS887281	9549	9549	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326992	SRX972831	9550	2015-03-30	4220	3094	2016-05-06	SRR1946148	SRS887279	9550	9550	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326993	SRX972832	9551	2015-03-30	3369	2467	2016-05-06	SRR1946149	SRS887282	9551	9551	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326994	SRX972833	9552	2015-03-30	3325	2443	2016-05-06	SRR1946150	SRS887276	9552	9552	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326995	SRX972834	9553	2015-03-30	2935	2152	2016-05-06	SRR1946151	SRS887277	9553	9553	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326996	SRX972835	9554	2015-03-30	4053	2983	2016-05-06	SRR1946152	SRS887278	9554	9554	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326997	SRX972836	9555	2015-03-30	4020	2952	2016-05-06	SRR1946153	SRS887275	9555	9555	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326998	SRX972837	9556	2015-03-30	3692	2709	2016-05-06	SRR1946154	SRS887274	9556	9556	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326999	SRX972838	9557	2015-03-30	3276	2403	2016-05-06	SRR1946155	SRS887272	9557	9557	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327000	SRX972839	9558	2015-03-30	3656	2685	2016-05-06	SRR1946156	SRS887273	9558	9558	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327001	SRX972840	9559	2015-03-30	3130	2248	2016-05-06	SRR1946157	SRS887271	9559	9559	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327002	SRX972841	9560	2015-03-30	3132	2245	2016-05-06	SRR1946158	SRS887270	9560	9560	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327003	SRX972842	9561	2015-03-30	3353	2411	2016-05-06	SRR1946159	SRS887269	9561	9561	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327004	SRX972843	9562	2015-03-30	2685	1931	2016-05-06	SRR1946160	SRS887268	9562	9562	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03327005	SRX972844	9564	2015-03-30	3189	2282	2016-05-06	SRR1946161	SRS887267	9564	9564	Spain	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326757	SRX972596	7358	2015-03-31	9017	6285	2016-05-06	SRR1945913	SRS887514	7358	7358	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326758	SRX972597	7359	2015-03-31	6022	4183	2016-05-06	SRR1945914	SRS887513	7359	7359	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326759	SRX972598	7372	2015-03-30	3250	2259	2016-05-06	SRR1945915	SRS887515	7372	7372	Austria	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326760	SRX972599	7373	2015-03-30	3115	1291	2016-05-06	SRR1945916	SRS887512	7373	7373	Japan	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326761	SRX972600	7377	2015-03-30	1908	1219	2016-05-06	SRR1945917	SRS887511	7377	7377	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326762	SRX972601	7378	2015-03-30	1724	1112	2016-05-06	SRR1945918	SRS887510	7378	7378	Germany	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326763	SRX972602	7382	2015-03-30	1102	710	2016-05-06	SRR1945919	SRS887509	7382	7382	Netherlands	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326764	SRX972603	7383	2015-03-30	3092	2102	2016-05-06	SRR1945920	SRS887508	7383	7383	Canada	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326765	SRX972604	7384	2015-03-30	1985	1266	2016-05-06	SRR1945921	SRS887507	7384	7384	Netherlands	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326766	SRX972605	7387	2015-03-30	2125	1422	2016-05-06	SRR1945922	SRS887506	7387	7387	United Kingdom	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326767	SRX972606	7394	2015-03-30	2222	1483	2016-05-06	SRR1945923	SRS887504	7394	7394	Poland	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326768	SRX972607	7396	2015-03-30	3415	1391	2016-05-06	SRR1945924	SRS887505	7396	7396	Russia	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326769	SRX972608	7404	2015-03-30	1800	1202	2016-05-06	SRR1945925	SRS887503	7404	7404	Germany	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326770	SRX972609	7411	2015-03-30	1839	1173	2016-05-06	SRR1945926	SRS887501	7411	7411	Germany	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326771	SRX972610	7413	2015-03-30	3189	1331	2016-05-06	SRR1945927	SRS887502	7413	7413	Lithuania	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326772	SRX972611	7415	2015-03-30	2566	1017	2016-05-06	SRR1945928	SRS887500	7415	7415	Germany	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326773	SRX972612	7416	2015-03-30	3240	2169	2016-05-06	SRR1945929	SRS887499	7416	7416	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326774	SRX972613	7417	2015-03-30	2901	1191	2016-05-06	SRR1945930	SRS887497	7417	7417	Switzerland	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326775	SRX972614	7418	2015-03-30	1762	1128	2016-05-06	SRR1945931	SRS887496	7418	7418	Switzerland	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326776	SRX972615	7419	2015-03-30	3555	2495	2016-05-06	SRR1945932	SRS887498	7419	7419	Germany	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326777	SRX972616	7424	2015-03-30	1508	950	2016-05-06	SRR1945933	SRS887495	7424	7424	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326778	SRX972617	7427	2015-03-30	1999	1303	2016-05-06	SRR1945934	SRS887493	7427	7427	Denmark	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326779	SRX972618	7430	2015-03-30	1736	1115	2016-05-06	SRR1945935	SRS887494	7430	7430	France	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326780	SRX972619	7460	2015-03-30	1881	1223	2016-05-06	SRR1945936	SRS887492	7460	7460	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326781	SRX972620	7461	2015-03-30	4505	2978	2016-05-06	SRR1945937	SRS887491	7461	7461	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326782	SRX972621	7471	2015-03-30	1839	1177	2016-05-06	SRR1945938	SRS887490	7471	7471	not applicable	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326783	SRX972622	7475	2015-03-31	8680	6032	2016-05-06	SRR1945939	SRS887489	7475	7475	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326784	SRX972623	7477	2015-03-30	2135	1361	2016-05-06	SRR1945940	SRS887488	7477	7477	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326785	SRX972624	7514	2015-03-30	3076	2076	2016-05-06	SRR1945941	SRS887487	7514	7514	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326786	SRX972625	7515	2015-03-30	1858	1216	2016-05-06	SRR1945942	SRS887486	7515	7515	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326787	SRX972626	7516	2015-03-30	3011	2137	2016-05-06	SRR1945943	SRS887483	7516	7516	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326788	SRX972627	7517	2015-03-30	2554	1838	2016-05-06	SRR1945944	SRS887485	7517	7517	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326789	SRX972628	7520	2015-03-30	2335	1562	2016-05-06	SRR1945945	SRS887484	7520	7520	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326790	SRX972629	7521	2015-03-30	8474	5728	2016-05-06	SRR1945946	SRS887482	7521	7521	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326791	SRX972630	7523	2015-03-30	1195	828	2016-05-06	SRR1945947	SRS887481	7523	7523	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326792	SRX972631	7525	2015-03-30	4660	3228	2016-05-06	SRR1945948	SRS887478	7525	7525	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326793	SRX972632	7529	2015-03-31	6988	5155	2016-05-06	SRR1945949	SRS887479	7529	7529	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326794	SRX972633	7530	2015-03-31	8304	6140	2016-05-06	SRR1945950	SRS887480	7530	7530	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326795	SRX972634	7566	2015-03-31	8477	6112	2016-05-06	SRR1945951	SRS887477	7566	7566	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326796	SRX972635	7568	2015-03-31	9199	6708	2016-05-06	SRR1945952	SRS887476	7568	7568	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326797	SRX972636	7717	2015-03-30	2965	2042	2016-05-06	SRR1945953	SRS887475	7717	7717	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326798	SRX972637	7757	2015-03-31	7069	5022	2016-05-06	SRR1945954	SRS887473	7757	7757	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326799	SRX972638	7767	2015-03-31	7033	5082	2016-05-06	SRR1945955	SRS887474	7767	7767	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326800	SRX972639	7917	2015-03-30	1831	1186	2016-05-06	SRR1945956	SRS887472	7917	7917	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326801	SRX972640	7947	2015-03-30	2251	1436	2016-05-06	SRR1945957	SRS887471	7947	7947	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326802	SRX972641	8037	2015-03-31	8528	6024	2016-05-06	SRR1945958	SRS887470	8037	8037	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326803	SRX972642	8057	2015-03-31	7738	5499	2016-05-06	SRR1945959	SRS887469	8057	8057	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326804	SRX972643	8077	2015-03-30	1790	1140	2016-05-06	SRR1945960	SRS887468	8077	8077	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326805	SRX972644	8132	2015-03-30	1946	1245	2016-05-06	SRR1945961	SRS887466	8132	8132	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326806	SRX972645	8171	2015-03-31	7075	5093	2016-05-06	SRR1945962	SRS887467	8171	8171	USA	leaf/rosette	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326807	SRX972646	8214	2015-03-30	1830	1199	2016-05-06	SRR1945963	SRS887465	8214	8214	France	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326808	SRX972647	8222	2015-03-30	2825	1673	2016-05-06	SRR1945964	SRS887464	8222	8222	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326809	SRX972648	8227	2015-03-30	7067	5993	2016-05-06	SRR1945965	SRS887463	8227	8227	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326810	SRX972649	8230	2015-03-30	4078	1766	2016-05-06	SRR1945966	SRS887462	8230	8230	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326811	SRX972650	8231	2015-03-30	3270	2354	2016-05-06	SRR1945967	SRS887461	8231	8231	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326812	SRX972651	8233	2015-03-30	5298	3505	2016-05-06	SRR1945968	SRS887459	8233	8233	USA	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326813	SRX972652	8234	2015-03-30	5891	4793	2016-05-06	SRR1945969	SRS887460	8234	8234	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326814	SRX972653	8235	2015-03-30	4631	3099	2016-05-06	SRR1945970	SRS887458	8235	8235	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326815	SRX972654	8236	2015-03-30	3998	2642	2016-05-06	SRR1945971	SRS887457	8236	8236	Czech Republic	leaf	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
SAMN03326816	SRX972655	8237	2015-03-30	4526	2985	2016-05-06	SRR1945972	SRS887454	8237	8237	Sweden	root	WGS	<not provided>	PRJNA273563	Plant	MPI-DB	public	0	PAIRED	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP056687	not applicable	not applicable	<not provided>	<not provided>	<not provided>
