"ecotypeid"	"srr"
9470	"SRR1946101"
9476	"SRR1946103"
9481	"SRR1946104"
9503	"SRR1946105"
9506	"SRR1946106"
9507	"SRR1946107"
9508	"SRR1946108"
9509	"SRR1946109"
9510	"SRR1946110"
9511	"SRR1946111"
9512	"SRR1946112"
9513	"SRR1946113"
9514	"SRR1946114"
9515	"SRR1946115"
9517	"SRR1946116"
9518	"SRR1946117"
9519	"SRR1946118"
9520	"SRR1946119"
9521	"SRR1946120"
9522	"SRR1946121"
9523	"SRR1946122"
9524	"SRR1946123"
9525	"SRR1946124"
9526	"SRR1946125"
9527	"SRR1946126"
9528	"SRR1946127"
9529	"SRR1946128"
9530	"SRR1946129"
9531	"SRR1946130"
9532	"SRR1946131"
9533	"SRR1946132"
9534	"SRR1946133"
9537	"SRR1946136"
9660	"SRR1946243"
9670	"SRR1946252"
9693	"SRR1946272"
9694	"SRR1946273"
9697	"SRR1946276"
9706	"SRR1946284"
9708	"SRR1946286"
9743	"SRR1946316"
9744	"SRR1946317"
9762	"SRR1946329"
9797	"SRR1946360"
9798	"SRR1946361"
9800	"SRR1946363"
9810	"SRR1946373"
9823	"SRR1946385"
9844	"SRR1946404"
9848	"SRR1946408"
9849	"SRR1946409"
9851	"SRR1946411"
9861	"SRR1946421"
9900	"SRR1946453"
9903	"SRR1946456"
9904	"SRR1946457"
9905	"SRR1946458"
9937	"SRR1946481"
9956	"SRR1946498"
9957	"SRR1946499"
9958	"SRR1946500"
9964	"SRR1946505"
9973	"SRR1946513"
9974	"SRR1946514"
9976	"SRR1946516"
9978	"SRR1946517"
9979	"SRR1946518"
9980	"SRR1946519"
9981	"SRR1946520"
9982	"SRR1946521"
9983	"SRR1946522"
9984	"SRR1946523"
9985	"SRR1946524"
9986	"SRR1946525"
9987	"SRR1946526"
9988	"SRR1946527"
9990	"SRR1946528"
9991	"SRR1946529"
9993	"SRR1946530"
9995	"SRR1946531"
9996	"SRR1946532"
9997	"SRR1946533"
9998	"SRR1946534"
9999	"SRR1946535"
10001	"SRR1946536"
10002	"SRR1946537"
10004	"SRR1946538"
10005	"SRR1946539"
10006	"SRR1946540"
10008	"SRR1946541"
10009	"SRR1946542"
10010	"SRR1946543"
10011	"SRR1946544"
10012	"SRR1946545"
10013	"SRR1946546"
10014	"SRR1946547"
10015	"SRR1946548"
10017	"SRR1946549"
10018	"SRR1946550"
10020	"SRR1946551"
10022	"SRR1946552"
10023	"SRR1946553"
7160	"SRR1945851"
7162	"SRR1945853"
7163	"SRR1945854"
7164	"SRR1945855"
7165	"SRR1945856"
7169	"SRR1945857"
7177	"SRR1945858"
7181	"SRR1945859"
7186	"SRR1945861"
7192	"SRR1945862"
7199	"SRR1945863"
7202	"SRR1945864"
7203	"SRR1945865"
7207	"SRR1945866"
7208	"SRR1945867"
7209	"SRR1945868"
7213	"SRR1945869"
7217	"SRR1945870"
7218	"SRR1945871"
7223	"SRR1945872"
7231	"SRR1945873"
7236	"SRR1945874"
7244	"SRR1945875"
7248	"SRR1945876"
7250	"SRR1945877"
7255	"SRR1945878"
7258	"SRR1945879"
7268	"SRR1945880"
7273	"SRR1945881"
7276	"SRR1945882"
7280	"SRR1945883"
7282	"SRR1945884"
7287	"SRR1945885"
7288	"SRR1945886"
7296	"SRR1945887"
7298	"SRR1945888"
7305	"SRR1945889"
7306	"SRR1945890"
7307	"SRR1945891"
7314	"SRR1945892"
7316	"SRR1945893"
7319	"SRR1945894"
7320	"SRR1945895"
7322	"SRR1945896"
7323	"SRR1945897"
7327	"SRR1945898"
7328	"SRR1945899"
7332	"SRR1945900"
7333	"SRR1945901"
7337	"SRR1945902"
7342	"SRR1945903"
7343	"SRR1945904"
7344	"SRR1945905"
7346	"SRR1945906"
7347	"SRR1945907"
7349	"SRR1945908"
7350	"SRR1945909"
7353	"SRR1945910"
7354	"SRR1945911"
7356	"SRR1945912"
9653	"SRR1946237"
9655	"SRR1946238"
9656	"SRR1946239"
9657	"SRR1946240"
9658	"SRR1946241"
9659	"SRR1946242"
9661	"SRR1946244"
9663	"SRR1946245"
9664	"SRR1946246"
9665	"SRR1946247"
9666	"SRR1946248"
9667	"SRR1946249"
9668	"SRR1946250"
9669	"SRR1946251"
9671	"SRR1946253"
9672	"SRR1946254"
9673	"SRR1946255"
9676	"SRR1946256"
9677	"SRR1946257"
9678	"SRR1946258"
9679	"SRR1946259"
9680	"SRR1946260"
9681	"SRR1946261"
9682	"SRR1946262"
9683	"SRR1946263"
9684	"SRR1946264"
9685	"SRR1946265"
9686	"SRR1946266"
9687	"SRR1946267"
9689	"SRR1946268"
9690	"SRR1946269"
9691	"SRR1946270"
9692	"SRR1946271"
9695	"SRR1946274"
9696	"SRR1946275"
9698	"SRR1946277"
9699	"SRR1946278"
9700	"SRR1946279"
9701	"SRR1946280"
9703	"SRR1946281"
9704	"SRR1946282"
9705	"SRR1946283"
9707	"SRR1946285"
9709	"SRR1946287"
9710	"SRR1946288"
9711	"SRR1946289"
9712	"SRR1946290"
9713	"SRR1946291"
9714	"SRR1946292"
9716	"SRR1946293"
9717	"SRR1946294"
9718	"SRR1946295"
9719	"SRR1946296"
9720	"SRR1946297"
9721	"SRR1946298"
9722	"SRR1946299"
9723	"SRR1946300"
9725	"SRR1946301"
9726	"SRR1946302"
9727	"SRR1946303"
9728	"SRR1946304"
9729	"SRR1946305"
9777	"SRR1946340"
9779	"SRR1946342"
9780	"SRR1946343"
9781	"SRR1946344"
9782	"SRR1946345"
9783	"SRR1946346"
9784	"SRR1946347"
9785	"SRR1946348"
9786	"SRR1946349"
9787	"SRR1946350"
9788	"SRR1946351"
9789	"SRR1946352"
9790	"SRR1946353"
9791	"SRR1946354"
9792	"SRR1946355"
9793	"SRR1946356"
9794	"SRR1946357"
9795	"SRR1946358"
9796	"SRR1946359"
9799	"SRR1946362"
9801	"SRR1946364"
9802	"SRR1946365"
9803	"SRR1946366"
9804	"SRR1946367"
9805	"SRR1946368"
9806	"SRR1946369"
9807	"SRR1946370"
9808	"SRR1946371"
9809	"SRR1946372"
9811	"SRR1946374"
9812	"SRR1946375"
9813	"SRR1946376"
9814	"SRR1946377"
9815	"SRR1946378"
9816	"SRR1946379"
9817	"SRR1946380"
9819	"SRR1946381"
9820	"SRR1946382"
9821	"SRR1946383"
9822	"SRR1946384"
9824	"SRR1946386"
9825	"SRR1946387"
9826	"SRR1946388"
9827	"SRR1946389"
9828	"SRR1946390"
9830	"SRR1946391"
9831	"SRR1946392"
9832	"SRR1946393"
9833	"SRR1946394"
9834	"SRR1946395"
9835	"SRR1946396"
9836	"SRR1946397"
9837	"SRR1946398"
9838	"SRR1946399"
9839	"SRR1946400"
9840	"SRR1946401"
9841	"SRR1946402"
9843	"SRR1946403"
9845	"SRR1946405"
9846	"SRR1946406"
9847	"SRR1946407"
9850	"SRR1946410"
9852	"SRR1946412"
9853	"SRR1946413"
9854	"SRR1946414"
9855	"SRR1946415"
9856	"SRR1946416"
9857	"SRR1946417"
9858	"SRR1946418"
9859	"SRR1946419"
9860	"SRR1946420"
9862	"SRR1946422"
9864	"SRR1946423"
9866	"SRR1946424"
9867	"SRR1946425"
9868	"SRR1946426"
9869	"SRR1946427"
9870	"SRR1946428"
9871	"SRR1946429"
9873	"SRR1946430"
9874	"SRR1946431"
9875	"SRR1946432"
9876	"SRR1946433"
9878	"SRR1946435"
